  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      1.5209E-03      1.3316E+00      1.2672E+00      1.5384E+00      9.9597E-04      6.4346E+01      1.2692E+02      1.0000E+00
      1.9592E-03      1.0909E+00      1.0378E+00      1.1692E+00      1.8382E-03      7.8992E+01      1.0382E+02      1.0000E+00
      2.1833E-03      1.0686E+00      1.0306E+00      1.1276E+00      2.1173E-03      7.8317E+01      1.0225E+02      1.0000E+00
      2.3120E-03      1.0530E+00      1.0238E+00      1.0893E+00      2.2667E-03      7.8762E+01      1.0137E+02      1.0000E+00
      2.3983E-03      1.0375E+00      1.0187E+00      1.0552E+00      2.3650E-03      7.9358E+01      1.0056E+02      1.0000E+00
      2.4588E-03      1.0263E+00      1.0159E+00      1.0298E+00      2.4326E-03      7.9857E+01      9.9904E+01      1.0000E+00
      2.4966E-03      1.0194E+00      1.0147E+00      1.0128E+00      2.4780E-03      8.0246E+01      9.9395E+01      1.0000E+00
      2.5116E-03      1.0166E+00      1.0138E+00      1.0080E+00      2.5016E-03      8.0548E+01      9.9452E+01      1.0000E+00
      2.5039E-03      1.0177E+00      1.0145E+00      1.0090E+00      2.4819E-03      8.0785E+01      9.9693E+01      1.0000E+00
      2.4734E-03      1.0228E+00      1.0155E+00      1.0235E+00      2.4403E-03      8.0578E+01      9.9975E+01      1.0000E+00
      2.4204E-03      1.0319E+00      1.0171E+00      1.0466E+00      2.3769E-03      8.0292E+01      1.0028E+02      1.0000E+00
      2.3442E-03      1.0454E+00      1.0200E+00      1.0792E+00      2.2913E-03      7.9972E+01      1.0059E+02      1.0000E+00
      2.2402E-03      1.0627E+00      1.0250E+00      1.1213E+00      2.1796E-03      7.9563E+01      1.0090E+02      1.0000E+00
      2.0904E-03      1.0921E+00      1.0326E+00      1.1823E+00      2.0214E-03      7.8762E+01      1.0089E+02      1.0000E+00
      1.8614E-03      1.1518E+00      1.0436E+00      1.2914E+00      1.7183E-03      7.6905E+01      9.9219E+01      1.0000E+00
      1.5254E-03      1.5411E+00      1.2368E+00      1.8082E+00      9.4996E-04      6.5010E+01      1.2278E+02      1.0000E+00
      1.5620E-03      1.3248E+00      1.3128E+00      1.5676E+00      9.8993E-04      6.3597E+01      1.2887E+02      1.0000E+00
      2.0411E-03      1.0618E+00      1.0396E+00      1.1200E+00      1.8690E-03      7.8162E+01      1.0530E+02      1.0000E+00
      2.3230E-03      1.0591E+00      1.0289E+00      1.0814E+00      2.1758E-03      7.8768E+01      1.0356E+02      1.0000E+00
      2.7623E-03      1.1314E+00      1.0451E+00      1.1816E+00      2.5099E-03      7.4056E+01      1.0380E+02      1.0000E+00
      2.6453E-03      1.1480E+00      1.0228E+00      1.2273E+00      2.3736E-03      8.2059E+01      9.7873E+01      1.0000E+00
      2.3187E-03      1.0309E+00      1.0038E+00      1.0446E+00      2.2682E-03      8.5434E+01      9.4162E+01      1.0000E+00
      2.3675E-03      1.0253E+00      1.0041E+00      1.0493E+00      2.3395E-03      8.5868E+01      9.4646E+01      1.0000E+00
      2.4188E-03      1.0179E+00      1.0038E+00      1.0379E+00      2.4002E-03      8.5546E+01      9.4506E+01      1.0000E+00
      2.4544E-03      1.0132E+00      1.0031E+00      1.0260E+00      2.4394E-03      8.5636E+01      9.4290E+01      1.0000E+00
      2.4790E-03      1.0091E+00      1.0028E+00      1.0158E+00      2.4672E-03      8.5764E+01      9.4105E+01      1.0000E+00
      2.4938E-03      1.0066E+00      1.0026E+00      1.0088E+00      2.4857E-03      8.5867E+01      9.3966E+01      1.0000E+00
      2.4991E-03      1.0057E+00      1.0025E+00      1.0051E+00      2.4950E-03      8.5950E+01      9.4050E+01      1.0000E+00
      2.4949E-03      1.0064E+00      1.0027E+00      1.0081E+00      2.4861E-03      8.6018E+01      9.4179E+01      1.0000E+00
      2.4811E-03      1.0087E+00      1.0029E+00      1.0147E+00      2.4680E-03      8.5888E+01      9.4301E+01      1.0000E+00
      2.4577E-03      1.0126E+00      1.0032E+00      1.0247E+00      2.4408E-03      8.5764E+01      9.4403E+01      1.0000E+00
      2.4245E-03      1.0180E+00      1.0037E+00      1.0380E+00      2.4045E-03      8.5651E+01      9.4462E+01      1.0000E+00
      2.3806E-03      1.0260E+00      1.0044E+00      1.0554E+00      2.3580E-03      8.5518E+01      9.4424E+01      1.0000E+00
      2.3291E-03      1.0389E+00      1.0054E+00      1.0772E+00      2.2956E-03      8.5241E+01      9.4119E+01      1.0000E+00
      2.3166E-03      1.0580E+00      1.0082E+00      1.0935E+00      2.2757E-03      8.4789E+01      9.5347E+01      1.0000E+00
      2.7553E-03      1.1102E+00      1.0465E+00      1.2409E+00      2.4086E-03      7.3276E+01      1.0207E+02      1.0000E+00
      2.8221E-03      1.0796E+00      1.0226E+00      1.1832E+00      2.4408E-03      8.5218E+01      1.0150E+02      1.0000E+00
      2.2553E-03      1.0580E+00      1.0248E+00      1.1415E+00      2.1378E-03      7.9471E+01      1.0015E+02      1.0000E+00
      1.9152E-03      1.1294E+00      1.0379E+00      1.2693E+00      1.7350E-03      7.7456E+01      9.7671E+01      1.0000E+00
      1.5371E-03      1.5257E+00      1.2337E+00      1.8039E+00      9.3950E-04      6.4259E+01      1.2459E+02      1.0000E+00
      1.5130E-03      1.3174E+00      1.3469E+00      1.5877E+00      9.3275E-04      6.3471E+01      1.3017E+02      1.0000E+00
      2.0293E-03      1.0714E+00      1.0423E+00      1.1234E+00      1.7968E-03      7.9234E+01      1.0628E+02      1.0000E+00
      2.6618E-03      1.1364E+00      1.0498E+00      1.2113E+00      2.3579E-03      7.2847E+01      1.0465E+02      1.0000E+00
      2.6533E-03      1.1284E+00      1.0170E+00      1.1938E+00      2.4097E-03      8.3258E+01      9.6362E+01      1.0000E+00
      2.3627E-03      1.0210E+00      1.0038E+00      1.0434E+00      2.2987E-03      8.5779E+01      9.4858E+01      1.0000E+00
      2.4584E-03      1.0262E+00      1.0042E+00      1.0379E+00      2.3938E-03      8.5607E+01      9.5211E+01      1.0000E+00
      2.5519E-03      1.0252E+00      1.0023E+00      1.0397E+00      2.5257E-03      8.6850E+01      9.3279E+01      1.0000E+00
      2.5498E-03      1.0251E+00      1.0010E+00      1.0414E+00      2.5163E-03      8.8393E+01      9.1357E+01      1.0000E+00
      2.4939E-03      1.0140E+00      1.0003E+00      1.0217E+00      2.4580E-03      8.8786E+01      9.0789E+01      1.0000E+00
      2.4719E-03      1.0056E+00      1.0002E+00      1.0098E+00      2.4664E-03      8.9006E+01      9.0936E+01      1.0000E+00
      2.4786E-03      1.0045E+00      1.0002E+00      1.0100E+00      2.4742E-03      8.8894E+01      9.1131E+01      1.0000E+00
      2.4871E-03      1.0032E+00      1.0002E+00      1.0074E+00      2.4830E-03      8.8846E+01      9.1130E+01      1.0000E+00
      2.4936E-03      1.0022E+00      1.0002E+00      1.0048E+00      2.4903E-03      8.8862E+01      9.1099E+01      1.0000E+00
      2.4975E-03      1.0016E+00      1.0002E+00      1.0029E+00      2.4952E-03      8.8881E+01      9.1072E+01      1.0000E+00
      2.4988E-03      1.0014E+00      1.0002E+00      1.0020E+00      2.4977E-03      8.8897E+01      9.1103E+01      1.0000E+00
      2.4975E-03      1.0016E+00      1.0002E+00      1.0029E+00      2.4952E-03      8.8908E+01      9.1141E+01      1.0000E+00
